GroupName,ClassName,RunInParallel,ProjectName
TestDemo,Automation.TestDemo,true,"App"
Access_TestInviteUserFlowsByUsersAndAccess,Automation.Access.web.TestInviteUserFlowsByUsersAndAccess,true,"Access,CustomerFrontend"
Access_TestLoginStepsLockedAttempts,Automation.Access.web.TestLoginStepsLockedAttempts,true,"Access,CustomerFrontend"
Access_TestFilterUsersApis,Automation.Access.api.TestFilterUsersApis,true,"Access,CustomerFrontend"
Access_TestGetPlanDetailsApis,Automation.Access.api.TestGetPlanDetailsApis,true,"Access,CustomerFrontend"
Access_TestGetUserAccessApis,Automation.Access.api.TestGetUserAccessApis,true,"Access,CustomerFrontend"
Access_TestNavigationItemsApis,Automation.Access.api.TestNavigationItemsApis,true,"Access,CustomerFrontend"
Access_TestDashbLoginLogout,Automation.Access.dash.TestDashLoginLogout,true,"Access,Dashboard"
Access_Test2faFlows,Automation.Access.web.Test2faFlows,true,"Access,CustomerFrontend"
Access_TestDashLoginLogout,Automation.Access.dash.TestDashLoginLogout,true,"Access,Dash"
Access_Test2faApis,Automation.Access.api.Test2faApis,true,"Access,CustomerFrontend"
Access_TestDefaultOtpApis,Automation.Access.api.TestDefaultOtpApis,true,"Access,CustomerFrontend"
Access_TestInviteUserFlowsByBudget,Automation.Access.web.TestInviteUserFlowsByBudget,true,"Access,CustomerFrontend"
Access_TestUpdatePersonalDetails,Automation.Access.web.TestUpdatePersonalDetails,true,"Access,CustomerFrontend"
Access_TestUpdatePersonalDetailsApis,Automation.Access.api.TestUpdatePersonalDetailsApis,true,"Access,CustomerFrontend"
Access_TestDashSubscriptionAddNewModuleApis,Automation.Access.api.dash.TestDashSubscriptionAddNewModuleApis,true,"Access,CustomerFrontend"
Access_TestDashPeopleApis,Automation.Access.api.dash.TestDashPeopleApis,true,"Access,Dash"
Access_TestDashboardLogin,Automation.Access.api.dash.TestDashAuthenticationApis,true,"Access,Dashboard"
Access_TestEligibilities,Automation.Access.api.dash.TestDashEligibilitiesApis,true,"Access,Dashboard"
Access_TestLoginCases,Automation.Access.api.TestLoginCasesApis,true,"Access,CustomerFrontend"
Access_TestBusinessesApis,Automation.Access.api.dash.TestDashBusinessesApis,true,"Access,Dashboard"
Access_TestPasswordChangeApis,Automation.Access.api.TestPasswordChangeApis,true,"Access,CustomerFrontend"
Access_TestUpdateBusinessDetailsApis,Automation.Access.api.TestUpdateBusinessDetailsApis,true,"Access,CustomerFrontend"
Access_TestPasswordChangeFlows,Automation.Access.web.TestPasswordChangeFlows,true,"Access,CustomerFrontend"
Access_TestDefaultOtpFlows,Automation.Access.web.TestDefaultOtpFlows,true,"Access,CustomerFrontend"
Payments_TestLocalTransfer,Automation.Payments.web.sgd.TestLocalTransfer,true,"Payments,CustomerFrontend"
Payments_TestLocalTransfer,Automation.Payments.api.sgd.TestSgdLocalTransfer,true,"Payments,CustomerFrontend"
Payments_MakerCheckerFlow_LocalTransfer,Automation.Payments.web.sgd.TestMakerCheckerFlow_LocalTransfer,true,"Payments,CustomerFrontend"
Payments_MakerCheckerFlow_SgdFxTransfer,Automation.Payments.web.sgd.TestMakerCheckerFlow_SgdFxTransfer,true,"Payments,CustomerFrontend"
Payments_TestIdrFxTransfer,Automation.Payments.api.idr.TestIdrFxTransfer,true,"Payments,CustomerFrontend"
Payments_TestAdvanceLocalTransfer,Automation.Payments.api.advance.TestAdvanceLocalTransfer,true,"Payments,CustomerFrontend"
Payments_TestMakerCheckerAdvanceTransfer,Automation.Payments.web.advance.TestMakerCheckerAdvanceTransfer,true,"Payments,CustomerFrontend"
Payments_TestSgdFxTransfer,Automation.Payments.api.sgd.TestSgdFxTransfer,true,"Payments,CustomerFrontend"
Payments_TestMakerCheckerUsdLocalTransfer,Automation.Payments.web.usd.TestMakerCheckerUsdLocalTransfer,true,"Payments,CustomerFrontend"
Payments_TestUsdFXTransferInTheWeekend,Automation.Payments.api.usd.TestUsdFXTransferInTheWeekend,true,"Payments,CustomerFrontend"
Payments_TestMcaConversionTransfer,Automation.Payments.web.usd.TestMcaConversionTransfer,true,"Payments,CustomerFrontend"
Payments_TestIdrLocalRecipient,Automation.Payments.web.idr.TestIdrLocalRecipient,true,"Payments,CustomerFrontend"
Payments_TestIdrLocalScheduleTransfer,Automation.Payments.web.idr.TestIdrLocalScheduleTransfer,true,"Payments,CustomerFrontend"
Payments_TestIdrLocalTransfer,Automation.Payments.web.idr.TestIdrLocalTransfer,true,"Payments,CustomerFrontend"
Payments_TestAdvanceQuarantineTransfer,Automation.Payments.web.advance.TestAdvanceQuarantineTransfer,true,"Payments,CustomerFrontend"
Payments_TestLiveTinkering,Automation.Payments.dash.TestLiveTinkering,true,"Payments,Dash"
SaaS_TestCreateNewBudget,Automation.SaaS.api.budget.TestCreateNewBudget,true,"SaaS,CustomerFrontend"
SaaS_TestUpdateExistingBudget,Automation.SaaS.api.budget.TestUpdateExistingBudget,true,"SaaS,CustomerFrontend"
SaaS_TestGetPeopleFromBudget,Automation.SaaS.api.budget.TestGetPeopleFromBudget,true,"SaaS,CustomerFrontend"
SaaS_TestCardCreationApis,Automation.SaaS.api.cards.TestCardCreationApis,true,"SaaS,CustomerFrontend"
SaaS_TestUpdateExistingCard,Automation.SaaS.api.cards.TestUpdateExistingCard,true,"SaaS,CustomerFrontend"
SaaS_TestCardTransferApis,Automation.SaaS.api.cards.TestCardTransferApis,true,"SaaS,CustomerFrontend"
SaaS_TestCardCreationFlows,Automation.SaaS.web.cards.TestCardCreationFlows,true,"SaaS,CustomerFrontend"
SaaS_TestBudgetCreationFlows,Automation.SaaS.web.budget.TestBudgetCreationFlows,true,"SaaS,CustomerFrontend"
SaaS_TestBudgetUpdateAccess,Automation.SaaS.api.budget.TestModifyAccessBudget,true,"SaaS,CustomerFrontend"
