sr.No,amount,transferType,transferTitle,transferOverviewTitle,transferCurrency,transferCategory,reference,otp,assignedBudgetName
1,{randomNum:2},Initiated,{randomAlphaNum:6},{randomAlphaNum:6},SGD,{randomAlphaNum:6},{randomAlphaNum:6},1234,
2,{randomNum:2},Submitted,{randomAlphaNum:6},{randomAlphaNum:6},SGD,{randomAlphaNum:6},{randomAlphaNum:6},1234,
3,{randomNum:3},Initiated,{randomAlphaNum:6},{randomAlphaNum:6},SGD,{randomAlphaNum:6},{randomAlphaNum:6},1234,
4,{randomNum:2},Submitted,{randomAlphaNum:6},{randomAlphaNum:6},USD,{randomAlphaNum:6},{randomAlphaNum:6},1234,
5,{randomNum:2},Initiated,{randomAlphaNum:6},{randomAlphaNum:6},USD,{randomAlphaNum:6},{randomAlphaNum:6},1234,
6,{randomNum:5},Completed,{randomAlphaNum:6},{randomAlphaNum:6},IDR,{randomAlphaNum:6},{randomAlphaNum:6},1234,
7,{randomNum:5},Scheduled,{randomAlphaNum:6},{randomAlphaNum:6},IDR,{randomAlphaNum:6},{randomAlphaNum:6},1234,
8,{randomNum:5},Recurring,{randomAlphaNum:6},{randomAlphaNum:6},IDR,{randomAlphaNum:6},{randomAlphaNum:6},1234,
9,{randomNum:5},Submitted,{randomAlphaNum:6},{randomAlphaNum:6},IDR,{randomAlphaNum:6},{randomAlphaNum:6},1234,
10,{randomNum:5},Initiated,{randomAlphaNum:6},{randomAlphaNum:6},IDR,{randomAlphaNum:6},{randomAlphaNum:6},1234,
11,{randomNum:2},Initiated,{randomAlphaNum:6},{randomAlphaNum:6},SGD,{randomAlphaNum:6},{randomAlphaNum:6},1234,Thanos Test budget
